Issue,Aliases/Keywords,Category,Common Causes,Natural/Home Remedies,Self-Care Tips,When to See a Doctor
Itchy skin (pruritus),"itching, itchy, scratchy skin, skin irritation",Irritation/Itching,"Dry skin, mild allergic reaction, insect bites, sweating, rough fabric, stress","Cool, wet compress or ice pack on the itchy area for 10-20 minutes; colloidal oatmeal bath soak; fragrance-free moisturizer applied right after bathing; diluted peppermint or menthol lotion",Keep nails short to limit scratching damage; avoid very hot showers; use a humidifier in dry weather; switch to fragrance-free soap and detergent,"Itching lasts more than 2 weeks, spreads widely, or comes with rash, swelling, yellow crusting, or fever"
Dry skin (xerosis),"dry skin, flaky skin, rough skin, ashy skin",Dryness,"Cold or low-humidity weather, long hot showers, harsh soaps, frequent hand-washing, ageing","Apply a thick, fragrance-free moisturizer (e.g. petroleum jelly or a heavy cream) within a few minutes of bathing while skin is still damp; coconut oil on very dry patches","Limit showers/baths to 5-10 minutes with warm (not hot) water; use a gentle, non-foaming cleanser; run a humidifier indoors; pat skin dry instead of rubbing","Skin is inflamed, painful, cracked with bleeding, or doesn't improve after a couple of weeks of consistent moisturizing"
Oily skin,"oily face, shiny skin, greasy skin",Oiliness,"Overactive sebaceous (oil) glands, hormones, heat/humidity, over-washing which triggers rebound oil","Blotting papers for quick shine control; a light, oil-free gel moisturizer instead of skipping moisturizer entirely","Wash face twice a day with a gentle, oil-free cleanser (avoid over-washing); choose noncomedogenic, oil-free makeup and sunscreen; avoid touching your face often","Oiliness is accompanied by painful cystic breakouts or sudden, unexplained change in oil production"
Combination skin,"oily T-zone, dry cheeks, combination skin type",Skin type,Genetics; oil glands are more active on the forehead/nose/chin than on the cheeks,Use a lightweight moisturizer on oily areas and a richer one on drier areas,"A gentle, balanced cleanser used on the whole face; avoid products marketed only for 'oily' or only for 'dry' skin, which can overtreat one zone","Persistent redness, stinging, or breakouts that don't respond to a simplified routine"
Sensitive/reactive skin,"skin sensitivity, stinging, burning after product use, reactive skin",Sensitivity,"A weakened skin barrier, frequent product changes, over-exfoliation, fragrance or alcohol in products","Simplify to a short routine: gentle cleanser, fragrance-free moisturizer, mineral sunscreen",Patch-test new products on the inner forearm for a few days before using on the face; avoid layering many active ingredients at once; reintroduce products one at a time,"Persistent burning, swelling, or a rash that develops after a specific product"
Sunburn,"sunburn, burnt skin, red skin from sun",Sun damage,Excess ultraviolet (UV) exposure from sunlight (can happen even on cloudy days),"Cool bath or shower, or a cool damp cloth on the skin; a fragrance-free aftersun lotion or gel containing aloe vera; extra water to counter dehydration","Avoid direct sun until skin heals; do not pop blisters or peel skin; avoid petroleum jelly and ice directly on burnt skin; loose, soft clothing over the area","Blistering over a large area, fever, chills, dizziness, nausea, or sunburn on a young child or baby"
Heat rash (prickly heat / miliaria),"prickly heat, sweat rash, heat bumps",Sweat-related,"Sweat trapped under the skin in hot, humid weather or from tight clothing","Cool showers; a cool, damp cloth held on the rash; gentle exfoliation to help unclog sweat ducts once the rash has settled","Move to a cooler, air-conditioned space; wear loose, breathable cotton clothing; keep the area dry and uncovered; avoid heavy, greasy creams that trap moisture","The area becomes painful, swollen, warm, or starts oozing pus, which can suggest infection"
Sweat rash in skin folds (intertrigo),"chafed skin folds, rash under breasts/armpits/groin, friction rash",Sweat-related,"Sweat and friction trapped in skin folds (underarms, groin, under breasts, between rolls)",Keep the area cool and dry; a cotton cloth or dusting powder can absorb moisture between folds,Wear breathable fabrics; dry skin folds thoroughly after washing; avoid tight clothing that traps moisture,"The area looks white/soggy, smells unusual, or is very painful, which can point to a yeast or bacterial infection needing treatment"
Insect bites and stings (mild),"mosquito bite, bug bite, bee sting, itchy bite",Bites/Stings,"Mosquitoes, fleas, other biting or stinging insects",Wash the area with cool water and mild soap; a cold compress or ice wrapped in cloth to numb the itch; calamine lotion for itching,"Avoid scratching, which can break the skin and cause infection; remove a visible stinger by scraping (not squeezing) it out","Signs of spreading infection (increasing redness, warmth, pus), a very large local reaction, or any difficulty breathing/swelling of the face or throat (seek emergency care immediately)"
Mild contact dermatitis (irritant rash),"contact rash, allergic rash, reaction to soap/detergent, skin reacting to product",Rash,"Skin reacting to a soap, detergent, fragrance, new skincare product, jewelry (nickel), or plant contact",Stop using the suspected product immediately; a cool compress and fragrance-free moisturizer to calm irritation; a light coating of colloidal oatmeal lotion,"Identify and avoid the trigger; switch to fragrance-free, hypoallergenic products; wash the area gently with mild soap and water as soon as possible after contact","The rash is widespread, affects the face, eyes, mouth, or genitals, or doesn't settle within a few days"
